TreeType,TestMode,N,Runtime(ms)
BST,Increase Insert + Increase Delete,1000,4.084070
BST,Increase Insert + Reverse Delete,1000,8.913460
BST,Random Insert + Random Delete,1000,0.115590
AVLTree,Increase Insert + Increase Delete,1000,0.122330
AVLTree,Increase Insert + Reverse Delete,1000,0.116840
AVLTree,Random Insert + Random Delete,1000,0.178500
SplayTree,Increase Insert + Increase Delete,1000,0.050890
SplayTree,Increase Insert + Reverse Delete,1000,0.026960
SplayTree,Random Insert + Random Delete,1000,0.338130
BST,Increase Insert + Increase Delete,2000,17.834980
BST,Increase Insert + Reverse Delete,2000,37.617020
BST,Random Insert + Random Delete,2000,0.288540
AVLTree,Increase Insert + Increase Delete,2000,0.256120
AVLTree,Increase Insert + Reverse Delete,2000,0.261870
AVLTree,Random Insert + Random Delete,2000,0.450920
SplayTree,Increase Insert + Increase Delete,2000,0.106480
SplayTree,Increase Insert + Reverse Delete,2000,0.052630
SplayTree,Random Insert + Random Delete,2000,0.782500
BST,Increase Insert + Increase Delete,3000,40.096100
BST,Increase Insert + Reverse Delete,3000,86.929270
BST,Random Insert + Random Delete,3000,0.496540
AVLTree,Increase Insert + Increase Delete,3000,0.405330
AVLTree,Increase Insert + Reverse Delete,3000,0.425920
AVLTree,Random Insert + Random Delete,3000,0.707220
SplayTree,Increase Insert + Increase Delete,3000,0.164530
SplayTree,Increase Insert + Reverse Delete,3000,0.082410
SplayTree,Random Insert + Random Delete,3000,1.334810
BST,Increase Insert + Increase Delete,4000,74.560220
BST,Increase Insert + Reverse Delete,4000,157.412380
BST,Random Insert + Random Delete,4000,0.754180
AVLTree,Increase Insert + Increase Delete,4000,0.583310
AVLTree,Increase Insert + Reverse Delete,4000,0.576660
AVLTree,Random Insert + Random Delete,4000,1.011180
SplayTree,Increase Insert + Increase Delete,4000,0.223070
SplayTree,Increase Insert + Reverse Delete,4000,0.116690
SplayTree,Random Insert + Random Delete,4000,1.882270
BST,Increase Insert + Increase Delete,5000,115.980350
BST,Increase Insert + Reverse Delete,5000,246.295660
BST,Random Insert + Random Delete,5000,1.040220
AVLTree,Increase Insert + Increase Delete,5000,0.745450
AVLTree,Increase Insert + Reverse Delete,5000,0.751500
AVLTree,Random Insert + Random Delete,5000,1.288820
SplayTree,Increase Insert + Increase Delete,5000,0.299030
SplayTree,Increase Insert + Reverse Delete,5000,0.140090
SplayTree,Random Insert + Random Delete,5000,2.403060
BST,Increase Insert + Increase Delete,6000,168.924320
BST,Increase Insert + Reverse Delete,6000,359.483460
BST,Random Insert + Random Delete,6000,1.322210
AVLTree,Increase Insert + Increase Delete,6000,0.977640
AVLTree,Increase Insert + Reverse Delete,6000,0.920640
AVLTree,Random Insert + Random Delete,6000,1.638870
SplayTree,Increase Insert + Increase Delete,6000,0.334170
SplayTree,Increase Insert + Reverse Delete,6000,0.164390
SplayTree,Random Insert + Random Delete,6000,3.004050
BST,Increase Insert + Increase Delete,7000,231.521890
BST,Increase Insert + Reverse Delete,7000,490.032720
BST,Random Insert + Random Delete,7000,1.549140
AVLTree,Increase Insert + Increase Delete,7000,1.095930
AVLTree,Increase Insert + Reverse Delete,7000,1.088820
AVLTree,Random Insert + Random Delete,7000,1.972120
SplayTree,Increase Insert + Increase Delete,7000,0.387330
SplayTree,Increase Insert + Reverse Delete,7000,0.194900
SplayTree,Random Insert + Random Delete,7000,3.645230
BST,Increase Insert + Increase Delete,8000,302.834620
BST,Increase Insert + Reverse Delete,8000,642.216960
BST,Random Insert + Random Delete,8000,1.800880
AVLTree,Increase Insert + Increase Delete,8000,1.261970
AVLTree,Increase Insert + Reverse Delete,8000,1.275130
AVLTree,Random Insert + Random Delete,8000,2.263960
SplayTree,Increase Insert + Increase Delete,8000,0.423620
SplayTree,Increase Insert + Reverse Delete,8000,0.210920
SplayTree,Random Insert + Random Delete,8000,4.157490
BST,Increase Insert + Increase Delete,9000,382.924700
BST,Increase Insert + Reverse Delete,9000,817.810900
BST,Random Insert + Random Delete,9000,2.267770
AVLTree,Increase Insert + Increase Delete,9000,1.483150
AVLTree,Increase Insert + Reverse Delete,9000,1.457090
AVLTree,Random Insert + Random Delete,9000,2.654550
SplayTree,Increase Insert + Increase Delete,9000,0.501940
SplayTree,Increase Insert + Reverse Delete,9000,0.247480
SplayTree,Random Insert + Random Delete,9000,4.792480
BST,Increase Insert + Increase Delete,10000,469.656790
BST,Increase Insert + Reverse Delete,10000,1015.844560
BST,Random Insert + Random Delete,10000,2.433570
AVLTree,Increase Insert + Increase Delete,10000,1.628200
AVLTree,Increase Insert + Reverse Delete,10000,1.661430
AVLTree,Random Insert + Random Delete,10000,2.984390
SplayTree,Increase Insert + Increase Delete,10000,0.557490
SplayTree,Increase Insert + Reverse Delete,10000,0.272990
SplayTree,Random Insert + Random Delete,10000,5.484220
